Fid,TripID,RouteID,StopID,StopName,WeekBeginning,NumberOfBoardings,Label
162.248.16.28-10.42.0.211-443-34254-6,44687,700,73905,9A  Marion Rd,30-06-2022  72:00:00 AM,7,1
198.105.244.11-10.42.0.42-80-45718-6,44687,700,77887,765A Cross Rd,30-06-2022  72:00:00 AM,75,1
203.205.191.21-10.42.0.211-80-47110-6,44687,700,74742,776 Cross Rd,30-06-2022  72:00:00 AM,7,0
180.76.147.97-10.42.0.211-80-54509-6,44687,700,74752,779 Cross Rd,30-06-2022  72:00:00 AM,6,1
172.217.10.10-10.42.0.151-443-56814-6,44687,700,73375,207 Marion Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-10.42.0.1-62839-53-17,44687,700,74737,77A  Marion Rd,30-06-2022  72:00:00 AM,6,0
10.42.0.211-104.192.110.245-53151-80-6,44687,700,72352,Woodville,30-06-2022  72:00:00 AM,7,1
180.149.136.194-10.42.0.42-80-49179-6,44687,700,73877,8K  Marion Rd,30-06-2022  72:00:00 AM,7,1
10.42.0.151-88.212.201.194-33918-443-6,44687,700,73456,8B  Marion Rd,30-06-2022  72:00:00 AM,72,0
172.217.12.194-10.42.0.211-443-46625-6,44687,700,72747,23  Findon Rd,30-06-2022  72:00:00 AM,3,1
174.129.31.175-10.42.0.211-443-59375-6,44687,700,72864,20  Crittenden Rd,30-06-2022  72:00:00 AM,8,0
172.217.7.228-10.42.0.211-443-47183-6,44687,700,74047,70A  Marion Rd,30-06-2022  72:00:00 AM,22,1
172.217.6.206-10.42.0.151-80-36951-6,44687,700,72527,279 Woodville Rd,30-06-2022  72:00:00 AM,6,0
10.42.0.151-52.2.229.30-50811-443-6,44687,700,73874,9  Marion Rd,30-06-2022  72:00:00 AM,15,1
10.42.0.42-104.254.66.16-49960-80-6,44687,700,73937,9B  Marion Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.211-31.13.71.7-49081-443-6,44687,700,72939,78  Crittenden Rd,30-06-2022  72:00:00 AM,3,0
10.42.0.211-66.198.24.224-60502-443-6,44687,700,72947,77  Grange Rd,30-06-2022  72:00:00 AM,17,1
10.42.0.211-23.21.51.186-39524-443-6,44687,700,73337,9A  Holbrooks Rd,30-06-2022  72:00:00 AM,6,0
162.208.22.39-10.42.0.211-443-35853-6,44687,700,74098,767 Cross Rd,30-06-2022  72:00:00 AM,2,0
10.42.0.211-10.42.0.1-56938-53-17,44687,700,74083,765 Cross Rd,30-06-2022  72:00:00 AM,18,1
172.217.3.106-10.42.0.42-443-59622-6,44687,700,72285,223 Woodville Rd,30-06-2022  72:00:00 AM,12,1
10.42.0.211-10.42.0.1-61631-53-17,44687,700,72463,220 Woodville Rd,30-06-2022  72:00:00 AM,7,0
10.42.0.151-10.42.0.1-50303-53-17,44687,700,73953,9C  Marion Rd,30-06-2022  72:00:00 AM,7,1
222.73.28.96-10.42.0.211-80-37079-6,44687,700,72670,277 Findon Rd,30-06-2022  72:00:00 AM,5,0
